Grp	Grpseq	codepoint	Graph	Name	NumericValue	BidirectionalClass	BidirectionalMirrored	Block	CanonicalCombiningClass	CantoneseReading	Category	DecompositionMapping	DecompositionType	Definition	HangulReading	JapaneseKunReading	JapaneseOnReading	KoreanReading	MandarinReading	AliasName	AliasKind	NumericType	OldName	SimpleLowerCaseMapping	SimpleTitleCaseMapping	SimpleUpperCaseMapping	SimplifiedVariant	TraditionalVariant	UnicodeRadicalStrokeCounts	VietnameseReading	IsAscii	IsBmp	Plane
41	1	12824	㈘	PARENTHESIZED HANGUL KHIEUKH A	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(카)	Compat	-	-	-	-	-	-			None	PARENTHESIZED HANGUL KA	-	-	-	-	-		-	False	True	0
42	1	12825	㈙	PARENTHESIZED HANGUL THIEUTH A	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(타)	Compat	-	-	-	-	-	-			None	PARENTHESIZED HANGUL TA	-	-	-	-	-		-	False	True	0
43	1	12826	㈚	PARENTHESIZED HANGUL PHIEUPH A	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(파)	Compat	-	-	-	-	-	-			None	PARENTHESIZED HANGUL PA	-	-	-	-	-		-	False	True	0
44	1	12827	㈛	PARENTHESIZED HANGUL HIEUH A	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(하)	Compat	-	-	-	-	-	-			None	PARENTHESIZED HANGUL HA	-	-	-	-	-		-	False	True	0
45	1	12828	㈜	PARENTHESIZED HANGUL CIEUC U	-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(주)	Compat	-	-	-	-	-	-			None	PARENTHESIZED HANGUL JU	-	-	-	-	-		-	False	True	0
46	1	12829	㈝	PARENTHESIZED KOREAN CHARACTER OJEON	-	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(오전)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
47	1	12830	㈞	PARENTHESIZED KOREAN CHARACTER O HU	-	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	(오후)	Compat	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
48	1	12831	㈟		-	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNotAssigned	-	Canonical	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
49	1	12832	㈠	PARENTHESIZED IDEOGRAPH ONE	1	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(一)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
50	1	12833	㈡	PARENTHESIZED IDEOGRAPH TWO	2	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	(二)	Compat	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
